device,domain,org,party
cync-matter-plug1,api.gelighting.com,General Electric Company,3
cync-matter-plug1,cm.gelighting.com,General Electric Company,3
echodot4a,discovery.meethue.com,Hue,3
consciot-matter-bulb1,global-us-mqtt.arnoo.com,arnoo.com,3
consciot-matter-bulb1,us-mqtt.arnoo.com,arnoo.com,3
consciot-matter-bulb1,us-smarthome.arnoo.com,arnoo.com,3
echodot5a,discovery.meethue.com,Hue,3
echoflex1,discovery.meethue.com,Hue,3
govee-matter-strip,time.google.com,Google LLC,3
eufy-hub,time.apple.com,Apple Inc.,3
eufy-hub,p2p-cal-2.anker-in.com,anker-in.com,3
eufy-hub,p2p-ohi-2.anker-in.com,anker-in.com,3
amcrest-cam-wired,ftp.hostedcloudvideo.com,Identity Protection Service,3
amcrest-cam-wired,cr-10.hostedcloudvideo.com,Identity Protection Service,3
amcrest-cam-wired,command-13.hostedcloudvideo.com,Identity Protection Service,3
echodot,discovery.meethue.com,Hue,3
ikea-hub,webhook.logentries.com,Rapid7,3
echopop,discovery.meethue.com,Hue,3
appletv,eligibility-panelresearch.googlevideo.com,Google LLC,3
appletv,www.youtube.com,Google LLC,3
appletv,apis.apple.map.fastly.net,Fastly,3
appletv,r2---sn-ab5l6nrr.googlevideo.com,Google LLC,3
appletv,www.gstatic.com,Google LLC,3
appletv,ocsp.pki.goog,"Charleston Road Registry, Inc.",3
appletv,static.doubleclick.net,Google LLC,3
appletv,_aaplcache1._tcp.unctrl.moniotr.lab,moniotr.lab,3
appletv,local,local,3
appletv,dns.google,"Google, Inc.",3
appletv,clients1.google.com,Google LLC,3
appletv,appledownload.map.fastly.net,Fastly,3
appletv,fp2e7a.wpc.phicdn.net,phicdn.net,
appletv,pki-goog.l.google.com,Google LLC,3
appletv,www.google.com,Google LLC,3
appletv,i.ytimg.com,Google LLC,3
chromecast-googletv,sessions.bugsnag.com,Bugsnag Inc.,3
chromecast-googletv,comet-emea.api.hbo.com,"Home Box Office, Inc.",3
chromecast-googletv,oauth.api.hbo.com,"Home Box Office, Inc.",3
chromecast-googletv,uts-api.itunes.apple.com,Apple Inc.,3
chromecast-googletv,sessions.api.hbo.com,"Home Box Office, Inc.",3
chromecast-googletv,account.production-public.tubi.io,"Tubi, Inc.",3
chromecast-googletv,tensor.production-public.tubi.io,"Tubi, Inc.",3
chromecast-googletv,www.yahoo.com,Yahoo Assets LLC,3
chromecast-googletv,bag.itunes.apple.com,Apple Inc.,3
chromecast-googletv,oauth-us.api.hbo.com,"Home Box Office, Inc.",3
echospot,discovery.meethue.com,Hue,3
linkind-matter-plug,global-us-ga-mqtt.arnoo.com,arnoo.com,3
linkind-matter-plug,us-smarthome.arnoo.com,arnoo.com,3
homepod-mini2,gld.push.samsungosp.com,samsungosp.com,3
homepod-mini2,connectivitycheck.gstatic.com,Google LLC,3
homepod-mini2,_meshcop._udp.openthread.thread.home.arpa,home.arpa,3
homepod-mini2,tvplus.familyhubservice.com,"Samsung Electronics CO., Ltd",3
homepod-mini2,connect.samsungiotcloud.com,"Samsung Electronics CO., Ltd",3
homepod-mini2,us-auth2.samsungosp.com,samsungosp.com,3
homepod-mini2,apple borderrouter #325a._meshcop._udp.openthread.thread.home.arpa,home.arpa,3
homepod-mini2,time.google.com,Google LLC,3
